freq,unit,geo\TIME_PERIOD	2019 	2020 	2021 	2022 
A,PC_POP,ITC1	16.3 	16.4 	17.7 	16.5 
A,PC_POP,ITC2	8.6 	9.2 	11.5 	8.6 
A,PC_POP,ITC3	17.5 	19.8 	21.6 	24.3 
A,PC_POP,ITC4	16.6 	16.1 	16.7 	14.8 
A,PC_POP,ITF1	24.4 	31.6 	35.5 	35.3 
A,PC_POP,ITF2	33.7 	39.6 	32.2 	37.2 
A,PC_POP,ITF3	48.2 	47.4 	49.4 	46.3 
A,PC_POP,ITF4	37.0 	33.4 	32.0 	35.9 
A,PC_POP,ITF5	33.0 	42.4 	31.8 	28.3 
A,PC_POP,ITF6	34.8 	39.7 	40.0 	42.8 
A,PC_POP,ITG1	45.4 	44.1 	42.5 	41.4 
A,PC_POP,ITG2	27.4 	33.7 	33.7 	36.4 
A,PC_POP,ITH1	10.4 	9.4 	9.2 	11.7 
A,PC_POP,ITH2	11.4 	14.6 	16.3 	12.1 
A,PC_POP,ITH3	10.3 	15.0 	16.9 	14.8 
A,PC_POP,ITH4	13.5 	19.1 	16.0 	15.5 
A,PC_POP,ITH5	14.0 	10.7 	11.2 	9.6 
A,PC_POP,ITI1	18.4 	17.3 	16.7 	13.8 
A,PC_POP,ITI2	12.3 	14.4 	16.6 	11.1 
A,PC_POP,ITI3	18.5 	17.7 	11.5 	13.6 
A,PC_POP,ITI4	24.1 	24.1 	25.6 	26.1 
