"ITTER107","Territorio","TIPO_DATO8","Tipo dato","TIP_FAM","Tipologia familiare","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","HH","totale famiglie","2016","2016",6.3,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","HH","totale famiglie","2017","2017",6.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","HH","totale famiglie","2018","2018",7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","HH","totale famiglie","2019","2019",6.4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","HH","totale famiglie","2020","2020",7.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","HH","totale famiglie","2021","2021",7.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SMB_35_64","persona sola 35-64 anni","2016","2016",5.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SMB_35_64","persona sola 35-64 anni","2017","2017",5.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SMB_35_64","persona sola 35-64 anni","2018","2018",6.3,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SMB_35_64","persona sola 35-64 anni","2019","2019",5.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SMB_35_64","persona sola 35-64 anni","2020","2020",6.3,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SMB_35_64","persona sola 35-64 anni","2021","2021",6.4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SMB_GE65","persona sola 65 anni o più","2016","2016",4.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SMB_GE65","persona sola 65 anni o più","2017","2017",4.6,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SMB_GE65","persona sola 65 anni o più","2018","2018",5.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SMB_GE65","persona sola 65 anni o più","2019","2019",5.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SMB_GE65","persona sola 65 anni o più","2020","2020",4.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SMB_GE65","persona sola 65 anni o più","2021","2021",5.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUP_WH_C_PR35_64","coppia senza figli con persona di riferimento 35-64 anni","2016","2016",5.3,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUP_WH_C_PR35_64","coppia senza figli con persona di riferimento 35-64 anni","2017","2017",5.3,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUP_WH_C_PR35_64","coppia senza figli con persona di riferimento 35-64 anni","2018","2018",5.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUP_WH_C_PR35_64","coppia senza figli con persona di riferimento 35-64 anni","2019","2019",3.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUP_WH_C_PR35_64","coppia senza figli con persona di riferimento 35-64 anni","2020","2020",4.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUP_WH_C_PR35_64","coppia senza figli con persona di riferimento 35-64 anni","2021","2021",4.6,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUP_WH_C_PRGE65","coppia senza figli con persona di riferimento 65 anni o più","2016","2016",2.6,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUP_WH_C_PRGE65","coppia senza figli con persona di riferimento 65 anni o più","2017","2017",2.6,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUP_WH_C_PRGE65","coppia senza figli con persona di riferimento 65 anni o più","2018","2018",3.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUP_WH_C_PRGE65","coppia senza figli con persona di riferimento 65 anni o più","2019","2019",3.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUP_WH_C_PRGE65","coppia senza figli con persona di riferimento 65 anni o più","2020","2020",3.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUP_WH_C_PRGE65","coppia senza figli con persona di riferimento 65 anni o più","2021","2021",3.6,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W1C","coppia con 1 figlio","2016","2016",5.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W1C","coppia con 1 figlio","2017","2017",6.3,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W1C","coppia con 1 figlio","2018","2018",6,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W1C","coppia con 1 figlio","2019","2019",5.3,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W1C","coppia con 1 figlio","2020","2020",7.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W1C","coppia con 1 figlio","2021","2021",6.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W2C","coppia con 2 figli","2016","2016",8.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W2C","coppia con 2 figli","2017","2017",9.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W2C","coppia con 2 figli","2018","2018",8.8,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W2C","coppia con 2 figli","2019","2019",8.8,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W2C","coppia con 2 figli","2020","2020",10.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W2C","coppia con 2 figli","2021","2021",10.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W3GEC","coppia con 3 e più figli","2016","2016",14.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W3GEC","coppia con 3 e più figli","2017","2017",15.4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W3GEC","coppia con 3 e più figli","2018","2018",16.6,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W3GEC","coppia con 3 e più figli","2019","2019",15.8,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W3GEC","coppia con 3 e più figli","2020","2020",19.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","COUPF_W3GEC","coppia con 3 e più figli","2021","2021",20,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SNGP","monogenitore","2016","2016",7.8,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SNGP","monogenitore","2017","2017",9.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SNGP","monogenitore","2018","2018",11.4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SNGP","monogenitore","2019","2019",8.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SNGP","monogenitore","2020","2020",11.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","SNGP","monogenitore","2021","2021",9.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OTHER1","altre tipologie","2016","2016",11.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OTHER1","altre tipologie","2017","2017",16.6,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OTHER1","altre tipologie","2018","2018",13.3,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OTHER1","altre tipologie","2019","2019",11.5,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OTHER1","altre tipologie","2020","2020",16.2,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","OTHER1","altre tipologie","2021","2021",16.3,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","WH_FR_HH","famiglie di soli italiani","2016","2016",4.4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","WH_FR_HH","famiglie di soli italiani","2017","2017",5.1,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","WH_FR_HH","famiglie di soli italiani","2018","2018",5.3,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","WH_FR_HH","famiglie di soli italiani","2019","2019",4.9,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","WH_FR_HH","famiglie di soli italiani","2020","2020",6,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","WH_FR_HH","famiglie di soli italiani","2021","2021",5.7,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","NAT_FR_HH","famiglie miste","2016","2016",27.4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","NAT_FR_HH","famiglie miste","2017","2017",16.4,,
"IT","Italia","INCID_POVASS_FAM","incidenza di povertà assoluta familiare (% di famiglie in poverta assoluta)","NAT_FR_HH","famiglie miste","2018","2018",18.2,,
