codice_istat,Comune,Codice_Regione,Codice_Provincia,Nuclei_familiari_percettori_RDC_luglio_2020,Nuclei_familiari_percettori_PDC_luglio_2020,Individui_coinvolti_luglio_2020,Numero_componenti_per_famiglia,Numero_donne_per_famiglia,Numero_minori_<_18_anni_per_famiglia,Numero_anziani_>_75_anni_per_famiglia,Importo_medio_mensile,Dev.standard_importo_mensile,Uomini_residenti_al_1-1-2020,Donne_residenti_al_1-1-2020,Popolazione_residente_al_1-1-2020,Takeup,Takeup_donne
A001,abanoterme,5.0,28.0,110.0,29.0,279.0,2.007,1.108,0.36,0.158,407.892,229.579,9439.0,10388.0,19827.0,0.014,0.015
A004,abbadiacerreto,3.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.407,459.93,141.0,134.0,275.0,0.0,0.0
A005,abbadialariana,3.0,97.0,13.0,0.0,29.0,1.933,0.933,0.333,0.067,410.322,159.662,1553.0,1647.0,3200.0,0.009,0.009
A006,abbadiasansalvatore,9.0,52.0,48.0,15.0,113.0,1.794,0.905,0.381,0.175,391.099,257.102,2955.0,3284.0,6239.0,0.018,0.017
A007,abbasanta,20.0,95.0,58.0,5.0,124.0,1.968,1.016,0.317,0.063,470.902,236.896,1290.0,1309.0,2599.0,0.048,0.049
A008,abbateggio,13.0,68.0,6.0,0.0,15.0,2.5,1.167,0.833,0.0,775.238,258.21,188.0,175.0,363.0,0.041,0.04
A010,abbiategrasso,3.0,15.0,325.0,39.0,919.0,2.525,1.302,0.805,0.052,495.098,280.535,15865.0,16703.0,32568.0,0.028,0.028
A013,abriola,17.0,76.0,28.0,0.0,66.0,2.2,1.033,0.433,0.033,467.582,247.922,660.0,709.0,1369.0,0.048,0.044
A014,acate,19.0,88.0,177.0,7.0,473.0,2.571,1.397,0.81,0.016,521.36,233.562,5940.0,4958.0,10898.0,0.043,0.052
A015,accadia,16.0,71.0,40.0,0.0,88.0,2.095,0.976,0.31,0.024,512.17,243.368,1079.0,1174.0,2253.0,0.039,0.035
A016,acceglio,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,80.0,158.0,0.0,0.0
A017,accettura,17.0,77.0,32.0,0.0,69.0,1.971,0.971,0.457,0.086,444.161,227.465,852.0,870.0,1722.0,0.04,0.039
A018,acciano,13.0,66.0,5.0,0.0,10.0,2.0,0.8,0.6,0.0,581.756,105.446,164.0,146.0,310.0,0.032,0.027
A019,accumoli,12.0,57.0,8.0,5.0,19.0,1.462,0.615,0.154,0.231,401.669,217.362,303.0,273.0,576.0,0.033,0.029
A020,acerenza,17.0,76.0,33.0,0.0,70.0,2.059,0.853,0.382,0.0,486.141,189.643,1130.0,1133.0,2263.0,0.031,0.026
A022,cermes/tscherms,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,781.0,1549.0,0.0,0.0
A023,acerno,15.0,65.0,74.0,0.0,204.0,2.649,1.312,0.74,0.026,412.71,225.453,1313.0,1294.0,2607.0,0.078,0.078
A024,acerra,15.0,63.0,2873.0,141.0,9157.0,3.038,1.597,0.854,0.04,645.992,301.488,29061.0,29943.0,59004.0,0.155,0.161
A025,acibonaccorsi,19.0,87.0,92.0,13.0,263.0,2.505,1.352,0.59,0.124,552.514,287.565,1670.0,1851.0,3521.0,0.075,0.077
A026,acicastello,19.0,87.0,540.0,56.0,1279.0,2.146,1.159,0.461,0.064,560.81,278.534,8455.0,9207.0,17662.0,0.072,0.075
A027,acicatena,19.0,87.0,1094.0,78.0,3216.0,2.744,1.426,0.741,0.042,618.615,291.628,13708.0,14076.0,27784.0,0.116,0.119
A028,acireale,19.0,87.0,1867.0,156.0,5109.0,2.525,1.342,0.623,0.062,603.23,278.813,24814.0,26362.0,51176.0,0.1,0.103
A029,acisant'antonio,19.0,87.0,640.0,53.0,1829.0,2.639,1.391,0.675,0.042,626.983,296.883,8827.0,9001.0,17828.0,0.103,0.107
A032,acquafondata,12.0,60.0,16.0,0.0,39.0,2.167,0.889,0.444,0.111,531.163,196.968,138.0,126.0,264.0,0.148,0.127
A033,acquaformosa,18.0,78.0,42.0,0.0,116.0,2.578,1.267,0.711,0.044,454.208,231.704,525.0,532.0,1057.0,0.11,0.107
A034,acquafredda,3.0,17.0,4.0,0.0,14.0,2.8,1.6,0.6,0.2,349.864,142.493,718.0,786.0,1504.0,0.009,0.01
A035,acqualagna,11.0,41.0,31.0,0.0,63.0,1.909,0.97,0.424,0.121,427.64,229.628,2148.0,2173.0,4321.0,0.015,0.015
A038,acquanegrasulchiese,3.0,20.0,20.0,0.0,58.0,2.636,1.591,0.682,0.091,566.908,339.737,1399.0,1418.0,2817.0,0.021,0.025
A039,acquanegracremonese,3.0,19.0,7.0,0.0,16.0,2.0,0.875,0.125,0.125,340.435,199.151,563.0,590.0,1153.0,0.014,0.012
A040,acquapendente,12.0,56.0,70.0,8.0,161.0,2.064,1.115,0.397,0.051,433.527,244.83,2612.0,2757.0,5369.0,0.03,0.032
A041,acquappesa,18.0,78.0,72.0,15.0,187.0,2.149,1.149,0.517,0.103,443.794,249.471,869.0,896.0,1765.0,0.106,0.112
A042,acquaricadelcapo,0.0,0.0,59.0,6.0,165.0,2.538,1.308,0.615,0.123,540.172,222.157,0.0,0.0,0.0,0.0,0.0
A043,acquaro,18.0,102.0,40.0,0.0,83.0,2.075,0.95,0.5,0.025,459.54,166.79,955.0,1032.0,1987.0,0.042,0.037
A044,acquasantaterme,11.0,44.0,23.0,4.0,45.0,1.667,0.815,0.222,0.074,463.47,202.015,1324.0,1322.0,2646.0,0.017,0.017
A045,acquasparta,10.0,55.0,52.0,8.0,142.0,2.367,1.233,0.633,0.2,518.571,301.602,2210.0,2360.0,4570.0,0.031,0.031
A047,acquavivapicena,11.0,44.0,27.0,0.0,52.0,1.733,0.933,0.3,0.0,513.03,232.903,1818.0,1887.0,3705.0,0.014,0.015
A048,acquavivadellefonti,16.0,72.0,414.0,36.0,1110.0,2.467,1.287,0.553,0.06,546.402,275.163,9776.0,10413.0,20189.0,0.055,0.056
A049,acquavivaplatani,19.0,85.0,27.0,0.0,57.0,1.966,0.931,0.517,0.034,525.409,247.318,451.0,460.0,911.0,0.063,0.059
A050,acquavivacollecroce,14.0,70.0,13.0,0.0,26.0,1.857,0.857,0.429,0.0,458.187,202.027,306.0,299.0,605.0,0.043,0.04
A051,acquavivad'isernia,14.0,94.0,6.0,0.0,10.0,1.667,0.667,0.167,0.0,599.627,217.018,205.0,194.0,399.0,0.025,0.021
A052,acquiterme,1.0,6.0,342.0,62.0,887.0,2.196,1.191,0.507,0.121,494.511,283.893,9252.0,10593.0,19845.0,0.045,0.045
A053,acri,18.0,78.0,383.0,49.0,933.0,2.16,1.183,0.553,0.081,466.006,235.751,9650.0,10287.0,19937.0,0.047,0.05
A054,acuto,12.0,60.0,45.0,5.0,91.0,1.82,0.92,0.34,0.04,452.627,227.753,923.0,948.0,1871.0,0.049,0.049
A055,adelfia,16.0,72.0,378.0,42.0,1011.0,2.407,1.286,0.564,0.057,544.532,276.896,8173.0,8486.0,16659.0,0.061,0.064
A056,adrano,19.0,87.0,1495.0,124.0,4442.0,2.744,1.471,0.786,0.057,536.978,268.26,16433.0,17574.0,34007.0,0.131,0.136
A057,adrarasanmartino,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.8,249.441,1145.0,1040.0,2185.0,0.0,0.0
A058,adrarasanrocco,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.445,225.758,417.0,392.0,809.0,0.0,0.0
A059,adria,5.0,29.0,182.0,27.0,444.0,2.124,1.077,0.483,0.11,460.261,276.124,9235.0,9780.0,19015.0,0.023,0.023
A060,adro,3.0,17.0,41.0,7.0,102.0,2.125,1.229,0.583,0.104,433.971,245.904,3577.0,3618.0,7195.0,0.014,0.016
A061,affi,5.0,23.0,7.0,0.0,17.0,2.125,1.25,0.75,0.125,444.286,294.841,1154.0,1211.0,2365.0,0.007,0.008
A062,affile,12.0,58.0,20.0,6.0,46.0,1.769,1.115,0.308,0.269,398.977,247.149,727.0,737.0,1464.0,0.031,0.039
